Mots conjugués;Infinitif
achète;acheter
achètes;acheter
achète;acheter
achetons;acheter
achetez;acheter
achètent;acheter
balaie;balayer
balaies;balayer
balaie;balayer
balayons;balayer
balayez;balayer
balaient;balayer
chante;chanter
chantes;chanter
chante;chanter
chantons;chanter
chantez;chanter
chantent;chanter
conduis;conduire
conduis;conduire
conduit;conduire
conduisons;conduire
conduisez;conduire
conduisent;conduire
coupe;couper
coupes;couper
coupe;couper
coupons;couper
coupez;couper
coupent;couper
cuis;cuire
cuis;cuire
cuit;cuire
cuisons;cuire
cuisez;cuire
cuisent;cuire
dors;dormir
dors;dormir
dort;dormir
dormons;dormir
dormez;dormir
dorment;dormir
essuie;essuyer
essuies;essuyer
essuie;essuyer
essuyons;essuyer
essuyez;essuyer
essuient;essuyer
fais;faire
fais;faire
fait;faire
faisons;faire
faites;faire
font;faire
fais;faire
fais;faire
fait;faire
faisons;faire
faites;faire
font;faire
joue;jouer
joues;jouer
joue;jouer
jouons;jouer
jouez;jouer
jouent;jouer
lave;laver
laves;laver
lave;laver
lavons;laver
lavez;laver
lavent;laver
lave;laver
laves;laver
lave;laver
lavons;laver
lavez;laver
lavent;laver
lis;lire
lis;lire
lit;lire
lisons;lire
lisez;lire
lisent;lire
mange;manger
manges;manger
mange;manger
mangeons;manger
mangez;manger
mangent;manger
mets;mettre
mets;mettre
met;mettre
mettons;mettre
mettez;mettre
mettent;mettre
pêche;pêcher
pêches;pêcher
pêche;pêcher
pêchons;pêcher
pêchez;pêcher
pêchent;pêcher
range;ranger
ranges;ranger
range;ranger
rangeons;ranger
rangez;ranger
rangent;ranger
regarde;regarder
regardes;regarder
regarde;regarder
regardons;regarder
regardez;regarder
regardent;regarder
me cache;se
te caches;se
se cache;se
nous cachons;se
vous cachez;se
se cachent;se
sens;sentir
sens;sentir
sent;sentir
sentons;sentir
sentez;sentir
sentent;sentir
m'habille;s'habiller
t'habilles;s'habiller
s'habille;s'habiller
nous habillons;s'habiller
vous habillez;s'habiller
s'habillent;s'habiller
tiens;tenir
tiens;tenir
tient;tenir
tenons;tenir
tenez;tenir
tiennent;tenir
travaille;travailler
travailles;travailler
travaille;travailler
travaillons;travailler
travaillez;travailler
travaillent;travailler
casse;casser
casses;casser
casse;casser
cassons;casser
cassez;casser
cassent;casser
trempe;tremper
trempes;tremper
trempe;tremper
trempons;tremper
trempez;tremper
trempent;tremper
casse;casser
casses;casser
casse;casser
cassons;casser
cassez;casser
cassent;casser
creuse;creuser
creuses;creuser
creuse;creuser
creusons;creuser
creusez;creuser
creusent;creuser
tartine;tartiner
tartines;tartiner
tartine;tartiner
tartinons;tartiner
tartinez;tartiner
tartinent;tartiner
