index	Mots écrits	_id	Pictogramme	Catégories	Conjugaison	schematic	sex	violence	aac	aacColor	skin	hair	downloads
!	!	3417	3417.png	orthographic sign	0	True	False	False	False	False	False	False	0
""""	""""	3190	3190.png	orthographic sign	0	True	False	False	False	False	False	False	0
#	#	5095	5095.png	orthographic sign	0	True	False	False	False	False	False	False	0
$	$	5091	5091.png	foreign currency,orthographic sign	0	True	False	False	False	False	False	False	0
%	%	5093	5093.png	orthographic sign,mathematics	0	True	False	False	False	False	False	False	0
(	(	3416	3416.png	orthographic sign,mathematics	0	True	False	False	False	False	False	False	0
)	)	3419	3419.png	orthographic sign,mathematics	0	True	False	False	False	False	False	False	0
*	*	3178	3178.png	orthographic sign,mathematics	0	False	False	False	False	False	False	False	0
+	+	3220	3220.png	orthographic sign,mathematics	0	True	False	False	False	False	False	False	0
,	,	3189	3189.png	orthographic sign	0	False	False	False	False	False	False	False	0
-	-	3200	3200.png	orthographic sign,mathematics	0	True	False	False	False	False	False	False	0
.	.	3218,5921,5921,32850,32850,32848,32848,36621	3218.png,5921.png,5921.png,32850.png,32850.png,32848.png,32848.png,36621.png	orthographic sign:room,signaling system,core vocabulary-place,core vocabulary-communication:room,signaling system,core vocabulary-place,core vocabulary-communication:day time:day time:day time:day time:verb,utensil,cookery	0,0,0,0,0,0,0,1	True,True,True,True,True,True,True,False	False,False,False,False,False,False,False,False	False,False,False,False,False,False,False,False	False,True,True,False,False,False,False,False	False,False,False,False,False,False,False,False	False,False,False,False,False,False,False,True	False,False,False,False,False,False,False,False	0,0,0,0,0,0,0,0
0	0	2626,6972,35693	2626.png,6972.png,35693.png	number:number:number	0,0,0	False,False,False	False,False,False	False,False,False	False,False,False	False,False,False	False,True,True	False,False,False	0,0,0
0:00	0:00	29468	29468.png	day hours	0	True	False	False	False	False	False	False	0
0:30	0:30	29472	29472.png	day hours	0	True	False	False	False	False	False	False	0
0:45	0:45	29528	29528.png	day hours	0	True	False	False	False	False	False	False	0
0:15	0:15	29470	29470.png	day hours	0	True	False	False	False	False	False	False	0
0h00	0h00	29468	29468.png	day hours	0	True	False	False	False	False	False	False	0
0h15	0h15	29470	29470.png	day hours	0	True	False	False	False	False	False	False	0
